TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
149,species,tactin1,Taczanowski's Tinamou,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),,
150,species,orntin1,Ornate Tinamou,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),,
154,species,chitin1,Chilean Tinamou,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),,
157,species,brutin1,Brushland Tinamou,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),,
160,species,andtin1,Andean Tinamou,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),,
168,species,cubtin1,Curve-billed Tinamou,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),,
171,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),,
172,species,whbnot1,White-bellied Nothura,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),,
173,species,lesnot1,Lesser Nothura,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),,
174,species,darnot1,Darwin's Nothura,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),,
180,species,sponot1,Spotted Nothura,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),,
189,species,chanot1,Chaco Nothura,Chaco Nothura,Nothura chacoensis,Tinamiformes,Tinamidae (Tinamous),,
190,species,dwatin1,Dwarf Tinamou,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),,
191,species,elctin1,Elegant Crested-Tinamou,Elegant Crested Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),,
202,species,quctin1,Quebracho Crested-Tinamou,Quebracho Crested Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),,
205,species,puntin1,Puna Tinamou,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),,
206,species,pattin1,Patagonian Tinamou,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),,
207,spuh,tinamo1,tinamou sp.,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),,
207.05,species,soucas1,Southern Cassowary,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
207.1,species,dwacas1,Dwarf Cassowary,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),,
207.15,species,norcas1,Northern Cassowary,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),,
207.2,species,emu1,Emu,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),,
207.45,species,sobkiw1,Southern Brown Kiwi,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,
207.5,issf,sobkiw2,Southern Brown Kiwi (South Island),Southern Brown Kiwi (South Island),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207.55,issf,sobkiw3,Southern Brown Kiwi (Stewart Island),Southern Brown Kiwi (Stewart Island),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207.6,species,okbkiw1,Okarito Brown Kiwi,Okarito Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),,
207.65,species,nibkiw1,North Island Brown Kiwi,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),,
207.7,species,liskiw1,Little Spotted Kiwi,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),,
207.75,species,grskiw1,Great Spotted Kiwi,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),,
208,species,horscr1,Horned Screamer,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Screamers,
209,species,souscr1,Southern Screamer,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),,
210,species,norscr1,Northern Screamer,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),,
211,species,maggoo1,Magpie Goose,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
212,species,spwduc1,Spotted Whistling-Duck,Spotted Whistling Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
213,species,plwduc1,Plumed Whistling-Duck,Plumed Whistling Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
214,species,wfwduc1,White-faced Whistling-Duck,White-faced Whistling Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
214.5,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Spotted x White-faced Whistling Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
215,species,bbwduc,Black-bellied Whistling-Duck,Black-bellied Whistling Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
215.3,issf,bkbwhd1,Black-bellied Whistling-Duck (fulgens),Black-bellied Whistling Duck (Northern),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
215.6,issf,bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Black-bellied Whistling Duck (Southern),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
216,species,wiwduc1,West Indian Whistling-Duck,West Indian Whistling Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
216.5,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Black-bellied x West Indian Whistling Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
217,species,fuwduc,Fulvous Whistling-Duck,Fulvous Whistling Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
218,species,wawduc1,Wandering Whistling-Duck,Wandering Whistling Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
222,species,lewduc1,Lesser Whistling-Duck,Lesser Whistling Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
223,spuh,whistl1,whistling-duck sp.,whistling duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
224,species,whbduc1,White-backed Duck,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
227,species,swagoo1,Swan Goose,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
227.3,domestic,swagoo2,Swan Goose (Domestic type),Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
228,species,taibeg1,Taiga Bean-Goose,Taiga Bean Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
232,species,tunbeg1,Tundra Bean-Goose,Tundra Bean Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
235,slash,y00468,Taiga/Tundra Bean-Goose,Taiga/Tundra Bean Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
236,species,pifgoo,Pink-footed Goose,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
237,species,gwfgoo,Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
238,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
239,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
240,issf,gwfgoo2,Greater White-fronted Goose (Western),Greater White-fronted Goose (Western),Anser albifrons gambelli/frontalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
243,issf,gwfgoo3,Greater White-fronted Goose (Tule),Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
247,species,lwfgoo,Lesser White-fronted Goose,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
247.5,slash,y00707,Greater/Lesser White-fronted Goose,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
248,species,gragoo,Graylag Goose,Greylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
249,issf,gragoo2,Graylag Goose (European),Greylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
250,issf,gragoo3,Graylag Goose (Siberian),Greylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
251,domestic,gragoo1,Graylag Goose (Domestic type),Greylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
251.5,hybrid,x00776,Swan x Graylag Goose (Domestic type) (hybrid),Swan x Greylag Goose (Domestic type) (hybrid),Anser cygnoides x anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252,species,bahgoo,Bar-headed Goose,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
