TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
10285,species,whfnun1,White-fronted Nunbird,White-fronted Nunbird,Monasa morphoeus,Galbuliformes,Bucconidae (Puffbirds),,
10286,issf,whfnun3,White-fronted Nunbird (Costa Rican),White-fronted Nunbird (Costa Rican),Monasa morphoeus grandior/fidelis,Galbuliformes,Bucconidae (Puffbirds),,whfnun1
10289,issf,whfnun4,White-fronted Nunbird (Pale-winged),White-fronted Nunbird (Pale-winged),Monasa morphoeus pallescens/sclateri,Galbuliformes,Bucconidae (Puffbirds),,whfnun1
10292,issf,whfnun5,White-fronted Nunbird (White-fronted),White-fronted Nunbird (White-fronted),Monasa morphoeus [morphoeus Group],Galbuliformes,Bucconidae (Puffbirds),,whfnun1
10296,species,yebnun1,Yellow-billed Nunbird,Yellow-billed Nunbird,Monasa flavirostris,Galbuliformes,Bucconidae (Puffbirds),,
10296.2,spuh,monasa1,Monasa sp.,Monasa sp.,Monasa sp.,Galbuliformes,Bucconidae (Puffbirds),,
10297,species,swwpuf1,Swallow-winged Puffbird,Swallow-winged Puffbird,Chelidoptera tenebrosa,Galbuliformes,Bucconidae (Puffbirds),,
10299,spuh,buccon1,Bucconidae sp.,Bucconidae sp.,Bucconidae sp.,Galbuliformes,Bucconidae (Puffbirds),,
10301,species,whejac1,White-eared Jacamar,White-eared Jacamar,Galbalcyrhynchus leucotis,Galbuliformes,Galbulidae (Jacamars),,
10302,species,purjac2,Purus Jacamar,Purus Jacamar,Galbalcyrhynchus purusianus,Galbuliformes,Galbulidae (Jacamars),,
10303,species,whtjac1,White-throated Jacamar,White-throated Jacamar,Brachygalba albogularis,Galbuliformes,Galbulidae (Jacamars),,
10304,species,brojac2,Brown Jacamar,Brown Jacamar,Brachygalba lugubris,Galbuliformes,Galbulidae (Jacamars),,
10312,species,pahjac1,Pale-headed Jacamar,Pale-headed Jacamar,Brachygalba goeringi,Galbuliformes,Galbulidae (Jacamars),,
10313,species,dubjac1,Dusky-backed Jacamar,Dusky-backed Jacamar,Brachygalba salmoni,Galbuliformes,Galbulidae (Jacamars),,
10314,species,thtjac1,Three-toed Jacamar,Three-toed Jacamar,Jacamaralcyon tridactyla,Galbuliformes,Galbulidae (Jacamars),,
10315,species,yebjac1,Yellow-billed Jacamar,Yellow-billed Jacamar,Galbula albirostris,Galbuliformes,Galbulidae (Jacamars),,
10318,species,bucjac1,Blue-cheeked Jacamar,Blue-necked Jacamar,Galbula cyanicollis,Galbuliformes,Galbulidae (Jacamars),,
10319,species,rutjac1,Rufous-tailed Jacamar,Rufous-tailed Jacamar,Galbula ruficauda,Galbuliformes,Galbulidae (Jacamars),,
10320,issf,rutjac2,Rufous-tailed Jacamar (Black-chinned),Rufous-tailed Jacamar (Black-chinned),Galbula ruficauda melanogenia,Galbuliformes,Galbulidae (Jacamars),,rutjac1
10321,issf,rutjac3,Rufous-tailed Jacamar (Rufous-tailed),Rufous-tailed Jacamar (Rufous-tailed),Galbula ruficauda [ruficauda Group],Galbuliformes,Galbulidae (Jacamars),,rutjac1
10324,issf,rutjac4,Rufous-tailed Jacamar (Spot-tailed),Rufous-tailed Jacamar (Spot-tailed),Galbula ruficauda rufoviridis/heterogyna,Galbuliformes,Galbulidae (Jacamars),,rutjac1
10327,species,grtjac1,Green-tailed Jacamar,Green-tailed Jacamar,Galbula galbula,Galbuliformes,Galbulidae (Jacamars),,
10328,species,whcjac1,White-chinned Jacamar,White-chinned Jacamar,Galbula tombacea,Galbuliformes,Galbulidae (Jacamars),,
10331,species,blfjac1,Bluish-fronted Jacamar,Bluish-fronted Jacamar,Galbula cyanescens,Galbuliformes,Galbulidae (Jacamars),,
10332,species,cocjac2,Coppery-chested Jacamar,Coppery-chested Jacamar,Galbula pastazae,Galbuliformes,Galbulidae (Jacamars),,
10333,species,purjac1,Purplish Jacamar,Purplish Jacamar,Galbula chalcothorax,Galbuliformes,Galbulidae (Jacamars),,
10334,species,brojac1,Bronzy Jacamar,Bronzy Jacamar,Galbula leucogastra,Galbuliformes,Galbulidae (Jacamars),,
10335,species,parjac1,Paradise Jacamar,Paradise Jacamar,Galbula dea,Galbuliformes,Galbulidae (Jacamars),,
10335.2,spuh,galbul1,Galbula sp.,Galbula sp.,Galbula sp.,Galbuliformes,Galbulidae (Jacamars),,
10340,species,grejac2,Great Jacamar,Great Jacamar,Jacamerops aureus,Galbuliformes,Galbulidae (Jacamars),,
10340.2,spuh,jacama1,jacamar sp.,jacamar sp.,Galbulidae sp.,Galbuliformes,Galbulidae (Jacamars),,
10345,species,yebbar1,Yellow-billed Barbet,Yellow-billed Barbet,Trachyphonus purpuratus,Piciformes,Lybiidae (African Barbets),Barbets and Toucans,
10345.2,issf,yebbar3,Yellow-billed Barbet (Western),Yellow-billed Barbet (Western),Trachyphonus purpuratus goffinii,Piciformes,Lybiidae (African Barbets),,yebbar1
10345.4,issf,yebbar4,Yellow-billed Barbet (Togo),Yellow-billed Barbet (Togo),Trachyphonus purpuratus togoensis,Piciformes,Lybiidae (African Barbets),,yebbar1
10345.6,issf,yebbar5,Yellow-billed Barbet (Eastern),Yellow-billed Barbet (Eastern),Trachyphonus purpuratus purpuratus/elgonensis,Piciformes,Lybiidae (African Barbets),,yebbar1
10350,species,crebar1,Crested Barbet,Crested Barbet,Trachyphonus vaillantii,Piciformes,Lybiidae (African Barbets),,
10353,species,raybar1,Red-and-yellow Barbet,Red-and-yellow Barbet,Trachyphonus erythrocephalus,Piciformes,Lybiidae (African Barbets),,
10357,species,yebbar2,Yellow-breasted Barbet,Yellow-breasted Barbet,Trachyphonus margaritatus,Piciformes,Lybiidae (African Barbets),,
10360,species,darbar1,D'Arnaud's Barbet,D'Arnaud's Barbet,Trachyphonus darnaudii,Piciformes,Lybiidae (African Barbets),,
10361,issf,darbar2,D'Arnaud's Barbet (D'Arnaud's),D'Arnaud's Barbet (D'Arnaud's),Trachyphonus darnaudii darnaudii/boehmi,Piciformes,Lybiidae (African Barbets),,darbar1
10363,issf,darbar3,D'Arnaud's Barbet (Usambiro),D'Arnaud's Barbet (Usambiro),Trachyphonus darnaudii usambiro,Piciformes,Lybiidae (African Barbets),,darbar1
10364,issf,darbar4,D'Arnaud's Barbet (Black-capped),D'Arnaud's Barbet (Black-capped),Trachyphonus darnaudii emini,Piciformes,Lybiidae (African Barbets),,darbar1
10365,species,gytbar1,Gray-throated Barbet,Grey-throated Barbet,Gymnobucco bonapartei,Piciformes,Lybiidae (African Barbets),,
10368,species,slabar1,Sladen's Barbet,Sladen's Barbet,Gymnobucco sladeni,Piciformes,Lybiidae (African Barbets),,
10369,species,brnbar1,Bristle-nosed Barbet,Bristle-nosed Barbet,Gymnobucco peli,Piciformes,Lybiidae (African Barbets),,
10370,species,nafbar1,Naked-faced Barbet,Naked-faced Barbet,Gymnobucco calvus,Piciformes,Lybiidae (African Barbets),,
10374,species,whebar1,White-eared Barbet,White-eared Barbet,Stactolaema leucotis,Piciformes,Lybiidae (African Barbets),,
10378,species,whybar1,Whyte's Barbet,Whyte's Barbet,Stactolaema whytii,Piciformes,Lybiidae (African Barbets),,
10385,species,ancbar1,Anchieta's Barbet,Anchieta's Barbet,Stactolaema anchietae,Piciformes,Lybiidae (African Barbets),,
10389,species,grebar2,Green Barbet,Green Barbet,Stactolaema olivacea,Piciformes,Lybiidae (African Barbets),,
10390,issf,grnbar2,Green Barbet (Green),Green Barbet (Green),Stactolaema olivacea olivacea,Piciformes,Lybiidae (African Barbets),,grebar2
10391,issf,grnbar1,Green Barbet (Howell's),Green Barbet (Howell's),Stactolaema olivacea howelli,Piciformes,Lybiidae (African Barbets),,grebar2
10392,issf,grnbar4,Green Barbet (Woodward's),Green Barbet (Woodward's),Stactolaema olivacea woodwardi,Piciformes,Lybiidae (African Barbets),,grebar2
10392.5,issf,grnbar3,Green Barbet (Malawi),Green Barbet (Malawi),Stactolaema olivacea belcheri/rungweensis,Piciformes,Lybiidae (African Barbets),,grebar2
10395,species,spetin1,Speckled Tinkerbird,Speckled Tinkerbird,Pogoniulus scolopaceus,Piciformes,Lybiidae (African Barbets),,
10399,species,gretin2,Green Tinkerbird,Green Tinkerbird,Pogoniulus simplex,Piciformes,Lybiidae (African Barbets),,
10400,species,moutin1,Moustached Tinkerbird,Moustached Tinkerbird,Pogoniulus leucomystax,Piciformes,Lybiidae (African Barbets),,
10401,species,westin1,Western Tinkerbird,Western Tinkerbird,Pogoniulus coryphaea,Piciformes,Lybiidae (African Barbets),,
10402,issf,westin2,Western Tinkerbird (Western),Western Tinkerbird (Western),Pogoniulus coryphaea coryphaea,Piciformes,Lybiidae (African Barbets),,westin1
10403,issf,westin3,Western Tinkerbird (Eastern),Western Tinkerbird (Eastern),Pogoniulus coryphaea hildamariae,Piciformes,Lybiidae (African Barbets),,westin1
10404,issf,westin4,Western Tinkerbird (Angola),Western Tinkerbird (Angola),Pogoniulus coryphaea angolensis,Piciformes,Lybiidae (African Barbets),,westin1
10405,species,rertin1,Red-rumped Tinkerbird,Red-rumped Tinkerbird,Pogoniulus atroflavus,Piciformes,Lybiidae (African Barbets),,
10406,species,yettin1,Yellow-throated Tinkerbird,Yellow-throated Tinkerbird,Pogoniulus subsulphureus,Piciformes,Lybiidae (African Barbets),,
10410,species,yertin1,Yellow-rumped Tinkerbird,Yellow-rumped Tinkerbird,Pogoniulus bilineatus,Piciformes,Lybiidae (African Barbets),,
10416.1,species,whctin1,White-chested Tinkerbird,White-chested Tinkerbird,Pogoniulus makawai,Piciformes,Lybiidae (African Barbets),,
10417,species,reftin1,Red-fronted Tinkerbird,Red-fronted Tinkerbird,Pogoniulus pusillus,Piciformes,Lybiidae (African Barbets),,
10421,species,yeftin1,Yellow-fronted Tinkerbird,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Piciformes,Lybiidae (African Barbets),,
10425,spuh,tinker1,tinkerbird sp.,tinkerbird sp.,Pogoniulus sp.,Piciformes,Lybiidae (African Barbets),,
10426,species,yesbar1,Yellow-spotted Barbet,Yellow-spotted Barbet,Buccanodon duchaillui,Piciformes,Lybiidae (African Barbets),,
10427,species,habbar1,Hairy-breasted Barbet,Hairy-breasted Barbet,Tricholaema hirsuta,Piciformes,Lybiidae (African Barbets),,
10428,issf,habbar2,Hairy-breasted Barbet (Hairy-breasted),Hairy-breasted Barbet (Hairy-breasted),Tricholaema hirsuta hirsuta,Piciformes,Lybiidae (African Barbets),,habbar1
10428.5,issf,habbar3,Hairy-breasted Barbet (Streaky-throated),Hairy-breasted Barbet (Streaky-throated),Tricholaema hirsuta [flavipunctata Group],Piciformes,Lybiidae (African Barbets),,habbar1
10432,species,refbar2,Red-fronted Barbet,Red-fronted Barbet,Tricholaema diademata,Piciformes,Lybiidae (African Barbets),,
10435,species,miobar1,Miombo Barbet,Miombo Pied Barbet,Tricholaema frontata,Piciformes,Lybiidae (African Barbets),,
10436,species,piebar1,Pied Barbet,Acacia Pied Barbet,Tricholaema leucomelas,Piciformes,Lybiidae (African Barbets),,
10440,species,spfbar1,Spot-flanked Barbet,Spot-flanked Barbet,Tricholaema lacrymosa,Piciformes,Lybiidae (African Barbets),,
10443,species,bltbar1,Black-throated Barbet,Black-throated Barbet,Tricholaema melanocephala,Piciformes,Lybiidae (African Barbets),,
10448,species,banbar1,Banded Barbet,Banded Barbet,Lybius undatus,Piciformes,Lybiidae (African Barbets),,
10453,species,viebar1,Vieillot's Barbet,Vieillot's Barbet,Lybius vieilloti,Piciformes,Lybiidae (African Barbets),,
10457,species,whhbar1,White-headed Barbet,White-headed Barbet,Lybius leucocephalus,Piciformes,Lybiidae (African Barbets),,
10457.2,issf,whhbar2,White-headed Barbet (White-headed),White-headed Barbet (White-headed),Lybius leucocephalus [leucocephalus Group],Piciformes,Lybiidae (African Barbets),,whhbar1
10457.4,issf,whhbar3,White-headed Barbet (Brown-and-white),White-headed Barbet (Brown-and-white),Lybius leucocephalus senex,Piciformes,Lybiidae (African Barbets),,whhbar1
10457.6,issf,whhbar4,White-headed Barbet (White-bellied),White-headed Barbet (White-bellied),Lybius leucocephalus leucogaster,Piciformes,Lybiidae (African Barbets),,whhbar1
10464,species,chabar1,Chaplin's Barbet,Chaplin's Barbet,Lybius chaplini,Piciformes,Lybiidae (African Barbets),,
10465,species,refbar1,Red-faced Barbet,Red-faced Barbet,Lybius rubrifacies,Piciformes,Lybiidae (African Barbets),,
10466,species,blbbar3,Black-billed Barbet,Black-billed Barbet,Lybius guifsobalito,Piciformes,Lybiidae (African Barbets),,
10467,species,blcbar1,Black-collared Barbet,Black-collared Barbet,Lybius torquatus,Piciformes,Lybiidae (African Barbets),,
10475,species,brbbar1,Brown-breasted Barbet,Brown-breasted Barbet,Lybius melanopterus,Piciformes,Lybiidae (African Barbets),,
10476,species,blbbar1,Black-backed Barbet,Black-backed Barbet,Lybius minor,Piciformes,Lybiidae (African Barbets),,
10477,issf,bkbbar1,Black-backed Barbet (Brown-backed),Black-backed Barbet (Brown-backed),Lybius minor minor,Piciformes,Lybiidae (African Barbets),,blbbar1
10478,issf,bkbbar2,Black-backed Barbet (Black-backed),Black-backed Barbet (Black-backed),Lybius minor macclounii,Piciformes,Lybiidae (African Barbets),,blbbar1
10479,species,dotbar1,Double-toothed Barbet,Double-toothed Barbet,Lybius bidentatus,Piciformes,Lybiidae (African Barbets),,
10482,species,beabar1,Bearded Barbet,Bearded Barbet,Lybius dubius,Piciformes,Lybiidae (African Barbets),,
10483,species,blbbar4,Black-breasted Barbet,Black-breasted Barbet,Lybius rolleti,Piciformes,Lybiidae (African Barbets),,
10483.5,spuh,afrbar1,african barbet sp.,african barbet sp.,Lybiidae sp.,Piciformes,Lybiidae (African Barbets),,
10484,species,soobar2,Sooty Barbet,Sooty Barbet,Calorhamphus hayii,Piciformes,Megalaimidae (Asian Barbets),,
10487,species,brnbar2,Brown Barbet,Brown Barbet,Calorhamphus fuliginosus,Piciformes,Megalaimidae (Asian Barbets),,
10489,species,crfbar1,Malabar Barbet,Malabar Barbet,Psilopogon malabaricus,Piciformes,Megalaimidae (Asian Barbets),,
10490,species,crfbar3,Crimson-fronted Barbet,Crimson-fronted Barbet,Psilopogon rubricapillus,Piciformes,Megalaimidae (Asian Barbets),,
10491,species,copbar1,Coppersmith Barbet,Coppersmith Barbet,Psilopogon haemacephalus,Piciformes,Megalaimidae (Asian Barbets),,
10491.2,slash,y00869,Malabar/Coppersmith Barbet,Malabar/Coppersmith Barbet,Psilopogon malabaricus/haemacephalus,Piciformes,Megalaimidae (Asian Barbets),,
10501,species,blebar1,Blue-eared Barbet,Blue-eared Barbet,Psilopogon duvaucelii,Piciformes,Megalaimidae (Asian Barbets),,
10507,species,litbar1,Little Barbet,Yellow-eared Barbet,Psilopogon australis,Piciformes,Megalaimidae (Asian Barbets),,
10508,species,borbar1,Bornean Barbet,Bornean Barbet,Psilopogon eximius,Piciformes,Megalaimidae (Asian Barbets),,
10511,species,fitbar1,Fire-tufted Barbet,Fire-tufted Barbet,Psilopogon pyrolophus,Piciformes,Megalaimidae (Asian Barbets),,
10512,species,grebar1,Great Barbet,Great Barbet,Psilopogon virens,Piciformes,Megalaimidae (Asian Barbets),,
10517,species,revbar1,Red-vented Barbet,Red-vented Barbet,Psilopogon lagrandieri,Piciformes,Megalaimidae (Asian Barbets),,
10520,species,recbar1,Red-crowned Barbet,Red-crowned Barbet,Psilopogon rafflesii,Piciformes,Megalaimidae (Asian Barbets),,
10521,species,retbar1,Red-throated Barbet,Red-throated Barbet,Psilopogon mystacophanos,Piciformes,Megalaimidae (Asian Barbets),,
10523,species,blbbar2,Black-banded Barbet,Black-banded Barbet,Psilopogon javensis,Piciformes,Megalaimidae (Asian Barbets),,
10524,species,gonbar1,Golden-naped Barbet,Golden-naped Barbet,Psilopogon pulcherrimus,Piciformes,Megalaimidae (Asian Barbets),,
10525,species,yecbar1,Yellow-crowned Barbet,Yellow-crowned Barbet,Psilopogon henricii,Piciformes,Megalaimidae (Asian Barbets),,
10528,species,flfbar1,Flame-fronted Barbet,Flame-fronted Barbet,Psilopogon armillaris,Piciformes,Megalaimidae (Asian Barbets),,
10531,species,grebar3,Green-eared Barbet,Green-eared Barbet,Psilopogon faiostrictus,Piciformes,Megalaimidae (Asian Barbets),,
10534,species,linbar1,Lineated Barbet,Lineated Barbet,Psilopogon lineatus,Piciformes,Megalaimidae (Asian Barbets),,
10537,species,brhbar1,Brown-headed Barbet,Brown-headed Barbet,Psilopogon zeylanicus,Piciformes,Megalaimidae (Asian Barbets),,
10541,species,whcbar1,White-cheeked Barbet,White-cheeked Barbet,Psilopogon viridis,Piciformes,Megalaimidae (Asian Barbets),,
10541.2,slash,y00870,Brown-headed/White-cheeked Barbet,Brown-headed/White-cheeked Barbet,Psilopogon zeylanicus/viridis,Piciformes,Megalaimidae (Asian Barbets),,
10542,species,yefbar1,Yellow-fronted Barbet,Yellow-fronted Barbet,Psilopogon flavifrons,Piciformes,Megalaimidae (Asian Barbets),,
10543,species,gotbar1,Golden-throated Barbet,Golden-throated/Necklaced Barbet,Psilopogon franklinii,Piciformes,Megalaimidae (Asian Barbets),,
10544,issf,gotbar2,Golden-throated Barbet (White-eared),Golden-throated Barbet,Psilopogon franklinii franklinii/ramsayi,Piciformes,Megalaimidae (Asian Barbets),,gotbar1
10547,issf,gotbar3,Golden-throated Barbet (Violet-eared),Necklaced Barbet,Psilopogon franklinii auricularis,Piciformes,Megalaimidae (Asian Barbets),,gotbar1
10548,species,moubar1,Mountain Barbet,Mountain Barbet,Psilopogon monticola,Piciformes,Megalaimidae (Asian Barbets),,
10549,species,brtbar1,Brown-throated Barbet,Brown-throated Barbet,Psilopogon corvinus,Piciformes,Megalaimidae (Asian Barbets),,
10550,species,gowbar1,Gold-whiskered Barbet,Golden-whiskered Barbet (Golden-whiskered),Psilopogon chrysopogon,Piciformes,Megalaimidae (Asian Barbets),,
10553,species,gofbar1,Gold-faced Barbet,Golden-whiskered Barbet (Gold-faced),Psilopogon chrysopsis,Piciformes,Megalaimidae (Asian Barbets),,
10554,species,moubar2,Moustached Barbet,Moustached Barbet,Psilopogon incognitus,Piciformes,Megalaimidae (Asian Barbets),,
10559,species,taibar2,Taiwan Barbet,Taiwan Barbet,Psilopogon nuchalis,Piciformes,Megalaimidae (Asian Barbets),,
10560,species,chibar1,Chinese Barbet,Chinese Barbet,Psilopogon faber,Piciformes,Megalaimidae (Asian Barbets),,
10562.2,species,bltbar2,Blue-throated Barbet,Blue-throated Barbet,Psilopogon asiaticus,Piciformes,Megalaimidae (Asian Barbets),,
10562.4,issf,butbar1,Blue-throated Barbet (Red-crowned),Blue-throated Barbet (Red-crowned),Psilopogon asiaticus asiaticus,Piciformes,Megalaimidae (Asian Barbets),,bltbar2
10562.6,issf,butbar2,Blue-throated Barbet (Blue-crowned),Blue-throated Barbet (Blue-crowned),Psilopogon asiaticus davisoni,Piciformes,Megalaimidae (Asian Barbets),,bltbar2
10562.8,species,indbar1,Indochinese Barbet,Indochinese Barbet,Psilopogon annamensis,Piciformes,Megalaimidae (Asian Barbets),,
10563,species,blbbar5,Black-browed Barbet,Black-browed Barbet,Psilopogon oorti,Piciformes,Megalaimidae (Asian Barbets),,
10564,species,tutbar1,Turquoise-throated Barbet,Turquoise-throated Barbet,Psilopogon chersonesus,Piciformes,Megalaimidae (Asian Barbets),,
10565,spuh,megala1,Psilopogon sp.,Psilopogon sp.,Psilopogon sp.,Piciformes,Megalaimidae (Asian Barbets),,
10567,spuh,asibar1,asian barbet sp.,asian barbet sp.,Megalaimidae sp.,Piciformes,Megalaimidae (Asian Barbets),,
10569,species,sccbar1,Scarlet-crowned Barbet,Scarlet-crowned Barbet,Capito aurovirens,Piciformes,Capitonidae (New World Barbets),,
10570,species,blgbar1,Black-girdled Barbet,Black-girdled Barbet,Capito dayi,Piciformes,Capitonidae (New World Barbets),,
10571,species,spcbar1,Spot-crowned Barbet,Spot-crowned Barbet,Capito maculicoronatus,Piciformes,Capitonidae (New World Barbets),,
10574,species,orfbar1,Orange-fronted Barbet,Orange-fronted Barbet,Capito squamatus,Piciformes,Capitonidae (New World Barbets),,
10575,species,whmbar1,White-mantled Barbet,White-mantled Barbet,Capito hypoleucus,Piciformes,Capitonidae (New World Barbets),,
10579,species,scbbar2,Scarlet-banded Barbet,Scarlet-banded/Sira Barbet,Capito wallacei,Piciformes,Capitonidae (New World Barbets),,
10579.3,issf,scbbar1,Scarlet-banded Barbet (Scarlet-banded),Scarlet-banded Barbet,Capito wallacei wallacei,Piciformes,Capitonidae (New World Barbets),,scbbar2
10579.5,issf,sirbar1,Scarlet-banded Barbet (Sira),Sira Barbet,Capito wallacei fitzpatricki,Piciformes,Capitonidae (New World Barbets),,scbbar2
10580,species,ficbar1,Five-colored Barbet,Five-colored Barbet,Capito quinticolor,Piciformes,Capitonidae (New World Barbets),,
10581,species,brcbar1,Brown-chested Barbet,Brown-chested Barbet,Capito brunneipectus,Piciformes,Capitonidae (New World Barbets),,
10582,species,blsbar1,Black-spotted Barbet,Black-spotted Barbet,Capito niger,Piciformes,Capitonidae (New World Barbets),,
10589,species,gilbar1,Gilded Barbet,Gilded Barbet,Capito auratus,Piciformes,Capitonidae (New World Barbets),,
10589.2,spuh,capito1,Capito sp.,Capito sp.,Capito sp.,Piciformes,Capitonidae (New World Barbets),,
10593,species,letbar1,Lemon-throated Barbet,Lemon-throated Barbet,Eubucco richardsoni,Piciformes,Capitonidae (New World Barbets),,
10598,species,schbar1,Scarlet-hooded Barbet,Scarlet-hooded Barbet,Eubucco tucinkae,Piciformes,Capitonidae (New World Barbets),,
10599,species,rehbar1,Red-headed Barbet,Red-headed Barbet,Eubucco bourcierii,Piciformes,Capitonidae (New World Barbets),,
10606,species,verbar1,Versicolored Barbet,Versicolored Barbet,Eubucco versicolor,Piciformes,Capitonidae (New World Barbets),,
10609.5,spuh,newbar1,new world barbet sp.,new world barbet sp.,Capitonidae sp.,Piciformes,Capitonidae (New World Barbets),,
10610,species,prbbar1,Prong-billed Barbet,Prong-billed Barbet,Semnornis frantzii,Piciformes,Semnornithidae (Toucan-Barbets),,
10611,species,toubar1,Toucan Barbet,Toucan Barbet,Semnornis ramphastinus,Piciformes,Semnornithidae (Toucan-Barbets),,
10614,species,emetou1,Emerald Toucanet,emerald toucanet sp.,Aulacorhynchus prasinus,Piciformes,Ramphastidae (Toucans),,
10615,issf,emetou3,Emerald Toucanet (Wagler's),Wagler's Toucanet,Aulacorhynchus prasinus wagleri,Piciformes,Ramphastidae (Toucans),,emetou1
10616,issf,emetou2,Emerald Toucanet (Emerald),Emerald Toucanet,Aulacorhynchus prasinus [prasinus Group],Piciformes,Ramphastidae (Toucans),,emetou1
10623,issf,emetou4,Emerald Toucanet (Blue-throated),Blue-throated Toucanet,Aulacorhynchus prasinus caeruleogularis/maxillaris,Piciformes,Ramphastidae (Toucans),,emetou1
10626,issf,emetou5,Emerald Toucanet (Violet-throated),Violet-throated Toucanet,Aulacorhynchus prasinus cognatus,Piciformes,Ramphastidae (Toucans),,emetou1
10627,issf,emetou6,Emerald Toucanet (Santa Marta),Santa Marta Toucanet,Aulacorhynchus prasinus lautus,Piciformes,Ramphastidae (Toucans),,emetou1
10627.5,issf,emetou9,Emerald Toucanet (Gray-throated),Grey-throated Toucanet,Aulacorhynchus prasinus griseigularis,Piciformes,Ramphastidae (Toucans),,emetou1
10628,issf,emetou7,Emerald Toucanet (Andean),White-throated Toucanet,Aulacorhynchus prasinus albivitta/phaeolaemus,Piciformes,Ramphastidae (Toucans),,emetou1
10632,issf,emetou8,Emerald Toucanet (Black-throated),Black-throated Toucanet,Aulacorhynchus prasinus [atrogularis Group],Piciformes,Ramphastidae (Toucans),,emetou1
10636,species,grbtou1,Groove-billed Toucanet,Groove-billed Toucanet,Aulacorhynchus sulcatus,Piciformes,Ramphastidae (Toucans),,
10637,issf,grbtou2,Groove-billed Toucanet (Yellow-billed),Groove-billed Toucanet (Yellow-billed),Aulacorhynchus sulcatus calorhynchus,Piciformes,Ramphastidae (Toucans),,grbtou1
10637.5,issf,grbtou3,Groove-billed Toucanet (Groove-billed),Groove-billed Toucanet (Groove-billed),Aulacorhynchus sulcatus sulcatus/erythrognathus,Piciformes,Ramphastidae (Toucans),,grbtou1
10641,species,chttou3,Chestnut-tipped Toucanet,Chestnut-tipped Toucanet,Aulacorhynchus derbianus,Piciformes,Ramphastidae (Toucans),,
10641.5,species,chttou2,Tepui Toucanet,Tepui Toucanet,Aulacorhynchus whitelianus,Piciformes,Ramphastidae (Toucans),,
10645,species,crrtou1,Crimson-rumped Toucanet,Crimson-rumped Toucanet,Aulacorhynchus haematopygus,Piciformes,Ramphastidae (Toucans),,
10648,species,yebtou1,Yellow-browed Toucanet,Yellow-browed Toucanet,Aulacorhynchus huallagae,Piciformes,Ramphastidae (Toucans),,
10649,species,blbtou1,Blue-banded Toucanet,Blue-banded Toucanet,Aulacorhynchus coeruleicinctis,Piciformes,Ramphastidae (Toucans),,
10649.2,spuh,aulaco1,Aulacorhynchus sp.,Aulacorhynchus sp.,Aulacorhynchus sp.,Piciformes,Ramphastidae (Toucans),,
10650,species,gybmot1,Gray-breasted Mountain-Toucan,Grey-breasted Mountain Toucan,Andigena hypoglauca,Piciformes,Ramphastidae (Toucans),,
10653,species,pbmtou1,Plate-billed Mountain-Toucan,Plate-billed Mountain Toucan,Andigena laminirostris,Piciformes,Ramphastidae (Toucans),,
10654,species,homtou1,Hooded Mountain-Toucan,Hooded Mountain Toucan,Andigena cucullata,Piciformes,Ramphastidae (Toucans),,
10655,species,bbmtou1,Black-billed Mountain-Toucan,Black-billed Mountain Toucan,Andigena nigrirostris,Piciformes,Ramphastidae (Toucans),,
10659,species,saftou2,Saffron Toucanet,Saffron Toucanet,Pteroglossus bailloni,Piciformes,Ramphastidae (Toucans),,
10660,species,greara1,Green Aracari,Green Aracari,Pteroglossus viridis,Piciformes,Ramphastidae (Toucans),,
10661,species,letara1,Lettered Aracari,Lettered Aracari,Pteroglossus inscriptus,Piciformes,Ramphastidae (Toucans),,
10664,species,colara1,Collared Aracari,Collared/Stripe-billed/Pale-mandibled Aracari,Pteroglossus torquatus,Piciformes,Ramphastidae (Toucans),,
10665,issf,colara2,Collared Aracari (Collared),Collared Aracari,Pteroglossus torquatus [torquatus Group],Piciformes,Ramphastidae (Toucans),,colara1
10670,issf,colara4,Collared Aracari (Stripe-billed),Stripe-billed Aracari,Pteroglossus torquatus sanguineus,Piciformes,Ramphastidae (Toucans),,colara1
10671,issf,colara5,Collared Aracari (Pale-mandibled),Pale-mandibled Aracari,Pteroglossus torquatus erythropygius,Piciformes,Ramphastidae (Toucans),,colara1
10672,species,fibara1,Fiery-billed Aracari,Fiery-billed Aracari,Pteroglossus frantzii,Piciformes,Ramphastidae (Toucans),,
10673,species,blnara1,Black-necked Aracari,Black-necked Aracari,Pteroglossus aracari,Piciformes,Ramphastidae (Toucans),,
10677,species,cheara1,Chestnut-eared Aracari,Chestnut-eared Aracari,Pteroglossus castanotis,Piciformes,Ramphastidae (Toucans),,
10680,species,mabara1,Many-banded Aracari,Many-banded Aracari,Pteroglossus pluricinctus,Piciformes,Ramphastidae (Toucans),,
10681,species,ivbara1,Ivory-billed Aracari,Ivory-billed/Brown-mandibled Aracari,Pteroglossus azara,Piciformes,Ramphastidae (Toucans),,
10681.2,issf,ivbara4,Ivory-billed Aracari (Yellow-billed),Ivory-billed Aracari (Yellow-billed),Pteroglossus azara flavirostris,Piciformes,Ramphastidae (Toucans),,ivbara1
