species_code,taxon_concept_id,scientific_name,common_name,order,family,family_common,category,taxonomic_order,report_as,extinct
chitin1,avibase-F900EE88,Nothoprocta perdicaria,Chilean Tinamou,Tinamiformes,Tinamidae,Tinamous,species,111,,FALSE
nothop1,avibase-D8C989EB,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae,Tinamous,spuh,114,,
tabtin1,avibase-5FB99321,Nothocercus julius,Tawny-breasted Tinamou,Tinamiformes,Tinamidae,Tinamous,species,115,,FALSE
hootin1,avibase-68E763AE,Nothocercus nigrocapillus,Hooded Tinamou,Tinamiformes,Tinamidae,Tinamous,species,116,,FALSE
higtin1,avibase-66C31E09,Nothocercus bonapartei,Highland Tinamou,Tinamiformes,Tinamidae,Tinamous,species,119,,FALSE
higtin3,avibase-E1140648,Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),Tinamiformes,Tinamidae,Tinamous,issf,120,higtin1,
higtin2,avibase-7A906705,Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),Tinamiformes,Tinamidae,Tinamous,issf,121,higtin1,
gretin1,avibase-42D72AE1,Tinamus major,Great Tinamou,Tinamiformes,Tinamidae,Tinamous,species,126,,FALSE
soltin1,avibase-67E5E0FA,Tinamus solitarius,Solitary Tinamou,Tinamiformes,Tinamidae,Tinamous,species,139,,FALSE
grytin1,avibase-346D16D5,Tinamus tao,Gray Tinamou,Tinamiformes,Tinamidae,Tinamous,species,140,,FALSE
whttin1,avibase-0480B7C9,Tinamus guttatus,White-throated Tinamou,Tinamiformes,Tinamidae,Tinamous,species,145,,FALSE
blatin1,avibase-63C5F122,Tinamus osgoodi,Black Tinamou,Tinamiformes,Tinamidae,Tinamous,species,146,,FALSE
blktin1,avibase-A6684BDE,Tinamus osgoodi hershkovitzi,Black Tinamou (Colombian),Tinamiformes,Tinamidae,Tinamous,issf,147,blatin1,
blktin2,avibase-353CEFF9,Tinamus osgoodi osgoodi,Black Tinamou (Peruvian),Tinamiformes,Tinamidae,Tinamous,issf,148,blatin1,
tinamu1,avibase-678BBDA9,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae,Tinamous,spuh,149,,
bertin1,avibase-9B036853,Crypturellus berlepschi,Berlepsch's Tinamou,Tinamiformes,Tinamidae,Tinamous,species,150,,FALSE
cintin1,avibase-7C90F8DB,Crypturellus cinereus,Cinereous Tinamou,Tinamiformes,Tinamidae,Tinamous,species,151,,FALSE
teptin1,avibase-F5F9A63F,Crypturellus ptaritepui,Tepui Tinamou,Tinamiformes,Tinamidae,Tinamous,species,152,,FALSE
smbtin1,avibase-2988DEC6,Crypturellus parvirostris,Small-billed Tinamou,Tinamiformes,Tinamidae,Tinamous,species,153,,FALSE
tattin1,avibase-9C7F2C57,Crypturellus tataupa,Tataupa Tinamou,Tinamiformes,Tinamidae,Tinamous,species,154,,FALSE
brotin1,avibase-D624C373,Crypturellus obsoletus,Brown Tinamou,Tinamiformes,Tinamidae,Tinamous,species,159,,FALSE
brntin11,avibase-9B9BE2A7,Crypturellus obsoletus cerviniventris/knoxi,Brown Tinamou (Venezuelan),Tinamiformes,Tinamidae,Tinamous,issf,160,brotin1,
brntin1,avibase-312C8577,Crypturellus obsoletus castaneus,Brown Tinamou (Ecuadorian),Tinamiformes,Tinamidae,Tinamous,issf,163,brotin1,
brntin2,avibase-87D217D1,Crypturellus obsoletus [punensis Group],Brown Tinamou (Andean),Tinamiformes,Tinamidae,Tinamous,issf,164,brotin1,
brntin8,avibase-18F2D028,Crypturellus obsoletus griseiventris,Brown Tinamou (Amazonian),Tinamiformes,Tinamidae,Tinamous,issf,168,brotin1,
brntin10,avibase-CD045F12,Crypturellus obsoletus obsoletus,Brown Tinamou (Atlantic),Tinamiformes,Tinamidae,Tinamous,issf,169,brotin1,
vartin1,avibase-F8BBC7A7,Crypturellus variegatus,Variegated Tinamou,Tinamiformes,Tinamidae,Tinamous,species,170,,FALSE
bartin2,avibase-88B9ABC1,Crypturellus bartletti,Bartlett's Tinamou,Tinamiformes,Tinamidae,Tinamous,species,171,,FALSE
bartin1,avibase-26D1CE28,Crypturellus casiquiare,Barred Tinamou,Tinamiformes,Tinamidae,Tinamous,species,172,,FALSE
rustin1,avibase-45EE168A,Crypturellus brevirostris,Rusty Tinamou,Tinamiformes,Tinamidae,Tinamous,species,173,,FALSE
littin1,avibase-39DD9DD7,Crypturellus soui,Little Tinamou,Tinamiformes,Tinamidae,Tinamous,species,174,,FALSE
undtin1,avibase-7A600A0F,Crypturellus undulatus,Undulated Tinamou,Tinamiformes,Tinamidae,Tinamous,species,189,,FALSE
yeltin1,avibase-7507BE36,Crypturellus noctivagus,Yellow-legged Tinamou,Tinamiformes,Tinamidae,Tinamous,species,196,,FALSE
yeltin2,avibase-5D053169,Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),Tinamiformes,Tinamidae,Tinamous,issf,197,yeltin1,
yeltin3,avibase-55A93510,Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),Tinamiformes,Tinamidae,Tinamous,issf,198,yeltin1,
blctin1,avibase-41631439,Crypturellus atrocapillus,Black-capped Tinamou,Tinamiformes,Tinamidae,Tinamous,species,199,,FALSE
pabtin1,avibase-D303E7FF,Crypturellus transfasciatus,Pale-browed Tinamou,Tinamiformes,Tinamidae,Tinamous,species,202,,FALSE
thitin1,avibase-AAB5CEED,Crypturellus cinnamomeus,Thicket Tinamou,Tinamiformes,Tinamidae,Tinamous,species,203,,FALSE
thitin2,avibase-8A2D8FB6,Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),Tinamiformes,Tinamidae,Tinamous,issf,204,thitin1,
thitin3,avibase-BC6EF580,Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),Tinamiformes,Tinamidae,Tinamous,issf,205,thitin1,
slbtin1,avibase-5183B60E,Crypturellus boucardi,Slaty-breasted Tinamou,Tinamiformes,Tinamidae,Tinamous,species,214,,FALSE
chotin1,avibase-2ED97B54,Crypturellus kerriae,Choco Tinamou,Tinamiformes,Tinamidae,Tinamous,species,217,,FALSE
reltin1,avibase-4E03F38D,Crypturellus erythropus,Red-legged Tinamou,Tinamiformes,Tinamidae,Tinamous,species,218,,FALSE
gyltin1,avibase-D2592D39,Crypturellus duidae,Gray-legged Tinamou,Tinamiformes,Tinamidae,Tinamous,species,226,,FALSE
bratin1,avibase-FE2B5A6B,Crypturellus strigulosus,Brazilian Tinamou,Tinamiformes,Tinamidae,Tinamous,species,227,,FALSE
sddtin1,avibase-23D44844,Crypturellus [undescribed form],Serra do Divisor Tinamou (undescribed form),Tinamiformes,Tinamidae,Tinamous,form,228,,
cryptu1,avibase-C2342750,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae,Tinamous,spuh,229,,
tinamo1,avibase-1C80D150,Tinamidae sp.,tinamou sp.,Tinamiformes,Tinamidae,Tinamous,spuh,230,,
horscr1,avibase-71BA40DC,Anhima cornuta,Horned Screamer,Anseriformes,Anhimidae,Screamers,species,232,,FALSE
souscr1,avibase-91194BE3,Chauna torquata,Southern Screamer,Anseriformes,Anhimidae,Screamers,species,233,,FALSE
norscr1,avibase-013B2B0B,Chauna chavaria,Northern Screamer,Anseriformes,Anhimidae,Screamers,species,234,,FALSE
maggoo1,avibase-89D5434B,Anseranas semipalmata,Magpie Goose,Anseriformes,Anseranatidae,Magpie Goose,species,236,,FALSE
spwduc1,avibase-1AAB20B0,Dendrocygna guttata,Spotted Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,238,,FALSE
plwduc1,avibase-A467AD00,Dendrocygna eytoni,Plumed Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,239,,FALSE
wfwduc1,avibase-A534AFEA,Dendrocygna viduata,White-faced Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,240,,FALSE
x00721,avibase-D0C8EB9E,Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,241,,
x01218,avibase-5C06C4C1,Dendrocygna eytoni x viduata,Plumed x White-faced Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,242,,
bbwduc,avibase-C01A22D6,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,243,,FALSE
bkbwhd1,avibase-79DDD6D9,Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (Northern),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,244,bbwduc,
bkbwhd2,avibase-A63F77A1,Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (Southern),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,245,bbwduc,
x01141,avibase-2E3AFEC0,Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,246,,
wiwduc1,avibase-DC65FCE7,Dendrocygna arborea,West Indian Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,247,,FALSE
x00775,avibase-D10F60FB,Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,248,,
fuwduc,avibase-9A60617E,Dendrocygna bicolor,Fulvous Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,249,,FALSE
x00938,avibase-944BFBDF,Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,250,,
x00875,avibase-973B0B71,Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,251,,
wawduc1,avibase-69D272A6,Dendrocygna arcuata,Wandering Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,252,,FALSE
x00990,avibase-F40F48ED,Dendrocygna eytoni x arcuata,Plumed x Wandering Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,256,,
y01227,avibase-B5604EDE,Dendrocygna eytoni/arcuata,Plumed/Wandering Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,257,,
lewduc1,avibase-BD683E6E,Dendrocygna javanica,Lesser Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,258,,FALSE
y01080,avibase-00932F1A,Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,259,,
