species_code,taxon_concept_id,scientific_name,common_name,order,family,family_common,category,taxonomic_order,report_as,extinct
sheowl7,avibase-45AD7D77,Asio flammeus ponapensis,Short-eared Owl (Pohnpei),Strigiformes,Strigidae,Owls,issf,9278,sheowl,
sheowl4,avibase-B4F269D4,Asio flammeus sandwichensis,Short-eared Owl (Hawaiian),Strigiformes,Strigidae,Owls,issf,9279,sheowl,
sheowl3,avibase-993AF0DD,Asio flammeus domingensis/portoricensis,Short-eared Owl (Antillean),Strigiformes,Strigidae,Owls,issf,9280,sheowl,
sheowl5,avibase-81BC9390,Asio flammeus galapagoensis,Short-eared Owl (Galapagos),Strigiformes,Strigidae,Owls,issf,9283,sheowl,
sheowl6,avibase-1F37B47E,Asio flammeus [suinda Group],Short-eared Owl (South American),Strigiformes,Strigidae,Owls,issf,9284,sheowl,
y00673,avibase-E19DDEE4,Asio otus/flammeus,Long-eared/Short-eared Owl,Strigiformes,Strigidae,Owls,slash,9289,,
marowl2,avibase-83E21A84,Asio capensis,Marsh Owl,Strigiformes,Strigidae,Owls,species,9290,,FALSE
feaowl1,avibase-8251FDDB,Asio solomonensis,Fearful Owl,Strigiformes,Strigidae,Owls,species,9294,,FALSE
asio1,avibase-31273EB0,Asio sp.,Asio sp.,Strigiformes,Strigidae,Owls,spuh,9295,,
borowl,avibase-8AB4EAF6,Aegolius funereus,Boreal Owl,Strigiformes,Strigidae,Owls,species,9296,,FALSE
borowl1,avibase-658E4A09,Aegolius funereus [funereus Group],Boreal Owl (Tengmalm's),Strigiformes,Strigidae,Owls,issf,9297,borowl,
borowl2,avibase-DD28CE1B,Aegolius funereus richardsoni,Boreal Owl (Richardson's),Strigiformes,Strigidae,Owls,issf,9303,borowl,
nswowl,avibase-26BA25EF,Aegolius acadicus,Northern Saw-whet Owl,Strigiformes,Strigidae,Owls,species,9304,,FALSE
nswowl1,avibase-BAE997C4,Aegolius acadicus acadicus,Northern Saw-whet Owl (acadicus),Strigiformes,Strigidae,Owls,issf,9305,nswowl,
nswowl2,avibase-26975454,Aegolius acadicus brooksi,Northern Saw-whet Owl (Haida Gwaii),Strigiformes,Strigidae,Owls,issf,9306,nswowl,
y01198,avibase-543D85EA,Aegolius funereus/acadicus,Boreal/Northern Saw-whet Owl,Strigiformes,Strigidae,Owls,slash,9307,,
bswowl1,avibase-E553A88E,Aegolius gradyi,Bermuda Saw-whet Owl,Strigiformes,Strigidae,Owls,species,9308,,TRUE
uswowl1,avibase-6439759F,Aegolius ridgwayi,Unspotted Saw-whet Owl,Strigiformes,Strigidae,Owls,species,9309,,FALSE
y00395,avibase-1AFA6CB2,Glaucidium/Aegolius sp. (pygmy-owl/saw-whet owl sp.),pygmy-owl/saw-whet owl sp.,Strigiformes,Strigidae,Owls,spuh,9313,,
bufowl1,avibase-10C68CA3,Aegolius harrisii,Buff-fronted Owl,Strigiformes,Strigidae,Owls,species,9314,,FALSE
rufowl2,avibase-0A4EC595,Ninox rufa,Rufous Owl,Strigiformes,Strigidae,Owls,species,9318,,FALSE
powowl1,avibase-2DF7793A,Ninox strenua,Powerful Owl,Strigiformes,Strigidae,Owls,species,9323,,FALSE
barowl1,avibase-A2A65F42,Ninox connivens,Barking Owl,Strigiformes,Strigidae,Owls,species,9324,,FALSE
sumboo1,avibase-EB43852E,Ninox rudolfi,Sumba Boobook,Strigiformes,Strigidae,Owls,species,9330,,FALSE
andhao1,avibase-719451A5,Ninox affinis,Andaman Boobook,Strigiformes,Strigidae,Owls,species,9331,,FALSE
souboo8,avibase-82BA5F75,Ninox boobook,Australian Boobook,Strigiformes,Strigidae,Owls,species,9332,,FALSE
souboo1,avibase-CF66E7D3,Ninox boobook [boobook Group],Australian Boobook (Boobook),Strigiformes,Strigidae,Owls,issf,9333,souboo8,
souboo7,avibase-55F6F3D3,Ninox boobook lurida,Australian Boobook (Red),Strigiformes,Strigidae,Owls,issf,9339,souboo8,
souboo4,avibase-00867CE7,Ninox rotiensis,Rote Boobook,Strigiformes,Strigidae,Owls,species,9340,,FALSE
souboo5,avibase-354C2019,Ninox fusca,Timor Boobook,Strigiformes,Strigidae,Owls,species,9341,,FALSE
souboo6,avibase-554D38C8,Ninox plesseni,Alor Boobook,Strigiformes,Strigidae,Owls,species,9342,,FALSE
souboo3,avibase-2ED1B123,Ninox leucopsis,Tasmanian Boobook,Strigiformes,Strigidae,Owls,species,9343,,FALSE
souboo2,avibase-30639AC2,Ninox boobook/leucopsis,Australian/Tasmanian Boobook,Strigiformes,Strigidae,Owls,slash,9344,,
morepo2,avibase-E8E9C26D,Ninox novaeseelandiae,Morepork,Strigiformes,Strigidae,Owls,species,9345,,FALSE
lauowl1,avibase-1F14F0A8,Ninox albifacies,Laughing Owl,Strigiformes,Strigidae,Owls,species,9349,,TRUE
lishao1,avibase-1BE72E49,Ninox sumbaensis,Least Boobook,Strigiformes,Strigidae,Owls,species,9350,,FALSE
brnhao1,avibase-A5AC4024,Ninox scutulata,Brown Boobook,Strigiformes,Strigidae,Owls,species,9351,,FALSE
brnhao3,avibase-2EE2D67A,Ninox obscura,Hume's Boobook,Strigiformes,Strigidae,Owls,species,9361,,FALSE
norboo1,avibase-A6052ECB,Ninox japonica,Northern Boobook,Strigiformes,Strigidae,Owls,species,9362,,FALSE
y00785,avibase-5C18BC54,Ninox scutulata/japonica,Brown/Northern Boobook,Strigiformes,Strigidae,Owls,slash,9365,,
choboo1,avibase-344F50D2,Ninox randi,Chocolate Boobook,Strigiformes,Strigidae,Owls,species,9366,,FALSE
phihao1,avibase-181430F4,Ninox philippensis,Luzon Boobook,Strigiformes,Strigidae,Owls,species,9367,,FALSE
minboo1,avibase-581CA4FF,Ninox spilocephala,Mindanao Boobook,Strigiformes,Strigidae,Owls,species,9371,,FALSE
minboo2,avibase-7076C12B,Ninox mindorensis,Mindoro Boobook,Strigiformes,Strigidae,Owls,species,9372,,FALSE
romboo1,avibase-E27F2664,Ninox spilonotus,Romblon Boobook,Strigiformes,Strigidae,Owls,species,9373,,FALSE
cebboo1,avibase-1243079D,Ninox rumseyi,Cebu Boobook,Strigiformes,Strigidae,Owls,species,9376,,FALSE
camboo1,avibase-42ABCF92,Ninox leventisi,Camiguin Boobook,Strigiformes,Strigidae,Owls,species,9377,,FALSE
sulboo1,avibase-EA06B173,Ninox reyi,Sulu Boobook,Strigiformes,Strigidae,Owls,species,9378,,FALSE
ocbhao1,avibase-2A4B7EB7,Ninox ochracea,Ochre-bellied Boobook,Strigiformes,Strigidae,Owls,species,9379,,FALSE
toghao1,avibase-BF2E6226,Ninox burhani,Togian Boobook,Strigiformes,Strigidae,Owls,species,9380,,FALSE
cinhao1,avibase-CF8433FC,Ninox ios,Cinnabar Boobook,Strigiformes,Strigidae,Owls,species,9381,,FALSE
whshao1,avibase-76A1AC94,Ninox [undescribed form],White-spotted Boobook (undescribed form),Strigiformes,Strigidae,Owls,form,9382,,
molhao3,avibase-6634B781,Ninox hypogramma,Halmahera Boobook,Strigiformes,Strigidae,Owls,species,9383,,FALSE
molhao2,avibase-EF2010E1,Ninox forbesi,Tanimbar Boobook,Strigiformes,Strigidae,Owls,species,9384,,FALSE
hanboo2,avibase-4FA9994A,Ninox squamipila,Seram Boobook,Strigiformes,Strigidae,Owls,species,9385,,FALSE
hanboo1,avibase-0A01E336,Ninox hantu,Buru Boobook,Strigiformes,Strigidae,Owls,species,9386,,FALSE
chihao1,avibase-7A047750,Ninox natalis,Christmas Island Boobook,Strigiformes,Strigidae,Owls,species,9387,,FALSE
junhao1,avibase-0EBDC907,Ninox theomacha,Papuan Boobook,Strigiformes,Strigidae,Owls,species,9388,,FALSE
manhao1,avibase-1DC414D2,Ninox meeki,Manus Boobook,Strigiformes,Strigidae,Owls,species,9393,,FALSE
spehao1,avibase-3E83E4BB,Ninox punctulata,Speckled Boobook,Strigiformes,Strigidae,Owls,species,9394,,FALSE
bishao1,avibase-9564C804,Ninox variegata,Bismarck Boobook,Strigiformes,Strigidae,Owls,species,9395,,FALSE
nebhao1,avibase-1C14F946,Ninox odiosa,New Britain Boobook,Strigiformes,Strigidae,Owls,species,9398,,FALSE
booboo1,avibase-225FA4D6,Ninox sp.,boobook sp.,Strigiformes,Strigidae,Owls,spuh,9399,,
paphao1,avibase-21835A3B,Uroglaux dimorpha,Papuan Owl,Strigiformes,Strigidae,Owls,species,9400,,FALSE
owl1,avibase-4850C24A,Strigiformes sp.,owl sp.,Strigiformes,Strigidae,Owls,spuh,9401,,
spemou2,avibase-1FDDABDB,Colius striatus,Speckled Mousebird,Coliiformes,Coliidae,Mousebirds,species,9403,,FALSE
whhmou1,avibase-ADDB3611,Colius leucocephalus,White-headed Mousebird,Coliiformes,Coliidae,Mousebirds,species,9421,,FALSE
rebmou1,avibase-A7746907,Colius castanotus,Red-backed Mousebird,Coliiformes,Coliidae,Mousebirds,species,9424,,FALSE
whbmou1,avibase-CFDC57C6,Colius colius,White-backed Mousebird,Coliiformes,Coliidae,Mousebirds,species,9425,,FALSE
blnmou1,avibase-E45D9EB2,Urocolius macrourus,Blue-naped Mousebird,Coliiformes,Coliidae,Mousebirds,species,9428,,FALSE
refmou1,avibase-AB1A85BF,Urocolius indicus,Red-faced Mousebird,Coliiformes,Coliidae,Mousebirds,species,9436,,FALSE
mouseb1,avibase-AC5DD3C5,Coliidae sp.,mousebird sp.,Coliiformes,Coliidae,Mousebirds,spuh,9442,,
cuckoo1,avibase-BCC6CD0D,Leptosomus discolor,Cuckoo-roller,Leptosomiformes,Leptosomidae,Cuckoo-roller,species,9444,,FALSE
cuckoo5,avibase-B0BD296A,Leptosomus discolor gracilis,Cuckoo-roller (Grande Comore),Leptosomiformes,Leptosomidae,Cuckoo-roller,issf,9445,cuckoo1,
cuckoo6,avibase-C551C880,Leptosomus discolor intermedius,Cuckoo-roller (Anjouan),Leptosomiformes,Leptosomidae,Cuckoo-roller,issf,9446,cuckoo1,
cuckoo7,avibase-3ABC69E9,Leptosomus discolor discolor,Cuckoo-roller (Malagasy),Leptosomiformes,Leptosomidae,Cuckoo-roller,issf,9447,cuckoo1,
nartro1,avibase-7FED5700,Apaloderma narina,Narina Trogon,Trogoniformes,Trogonidae,Trogons,species,9449,,FALSE
bactro1,avibase-9FCF19F5,Apaloderma aequatoriale,Bare-cheeked Trogon,Trogoniformes,Trogonidae,Trogons,species,9454,,FALSE
battro1,avibase-2F2CB724,Apaloderma vittatum,Bar-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9455,,FALSE
afrtro1,avibase-7C2BB4D3,Apaloderma sp.,african trogon sp.,Trogoniformes,Trogonidae,Trogons,spuh,9460,,
javtro1,avibase-BE6ABD55,Apalharpactes reinwardtii,Javan Trogon,Trogoniformes,Trogonidae,Trogons,species,9461,,FALSE
sumtro1,avibase-E3007B8C,Apalharpactes mackloti,Sumatran Trogon,Trogoniformes,Trogonidae,Trogons,species,9462,,FALSE
orbtro2,avibase-F663214E,Harpactes oreskios,Orange-breasted Trogon,Trogoniformes,Trogonidae,Trogons,species,9463,,FALSE
orbtro5,avibase-0211E34E,Harpactes oreskios [dulitensis Group],Orange-breasted Trogon (Spice),Trogoniformes,Trogonidae,Trogons,issf,9464,orbtro2,
orbtro4,avibase-56E9AAB6,Harpactes oreskios oreskios,Orange-breasted Trogon (Orange-breasted),Trogoniformes,Trogonidae,Trogons,issf,9469,orbtro2,
maltro1,avibase-FC98A36A,Harpactes fasciatus,Malabar Trogon,Trogoniformes,Trogonidae,Trogons,species,9470,,FALSE
rentro1,avibase-D04AAF76,Harpactes kasumba,Red-naped Trogon,Trogoniformes,Trogonidae,Trogons,species,9474,,FALSE
diatro1,avibase-ECF71AC7,Harpactes diardii,Diard's Trogon,Trogoniformes,Trogonidae,Trogons,species,9477,,FALSE
phitro1,avibase-AFED9D54,Harpactes ardens,Philippine Trogon,Trogoniformes,Trogonidae,Trogons,species,9480,,FALSE
whitro1,avibase-113784EC,Harpactes whiteheadi,Whitehead's Trogon,Trogoniformes,Trogonidae,Trogons,species,9486,,FALSE
cirtro1,avibase-E5453199,Harpactes orrhophaeus,Cinnamon-rumped Trogon,Trogoniformes,Trogonidae,Trogons,species,9487,,FALSE
scrtro1,avibase-80DFB0BE,Harpactes duvaucelii,Scarlet-rumped Trogon,Trogoniformes,Trogonidae,Trogons,species,9490,,FALSE
rehtro1,avibase-B8B765D8,Harpactes erythrocephalus,Red-headed Trogon,Trogoniformes,Trogonidae,Trogons,species,9491,,FALSE
wartro1,avibase-09E4B98C,Harpactes wardi,Ward's Trogon,Trogoniformes,Trogonidae,Trogons,species,9501,,FALSE
asitro1,avibase-61AA5634,Apalharpactes/Harpactes sp.,asian trogon sp.,Trogoniformes,Trogonidae,Trogons,spuh,9502,,
earque,avibase-83AB5D3D,Euptilotis neoxenus,Eared Quetzal,Trogoniformes,Trogonidae,Trogons,species,9503,,FALSE
pavque1,avibase-3CCFE7C8,Pharomachrus pavoninus,Pavonine Quetzal,Trogoniformes,Trogonidae,Trogons,species,9504,,FALSE
gohque1,avibase-A9525D74,Pharomachrus auriceps,Golden-headed Quetzal,Trogoniformes,Trogonidae,Trogons,species,9505,,FALSE
resque1,avibase-1F414281,Pharomachrus mocinno,Resplendent Quetzal,Trogoniformes,Trogonidae,Trogons,species,9508,,FALSE
resque2,avibase-2A0CF02D,Pharomachrus mocinno mocinno,Resplendent Quetzal (Guatemalan),Trogoniformes,Trogonidae,Trogons,issf,9509,resque1,
resque3,avibase-BFB7CCA0,Pharomachrus mocinno costaricensis,Resplendent Quetzal (Costa Rican),Trogoniformes,Trogonidae,Trogons,issf,9510,resque1,
whtque1,avibase-A3896AE9,Pharomachrus fulgidus,White-tipped Quetzal,Trogoniformes,Trogonidae,Trogons,species,9511,,FALSE
creque1,avibase-A968CFA7,Pharomachrus antisianus,Crested Quetzal,Trogoniformes,Trogonidae,Trogons,species,9514,,FALSE
x01126,avibase-9D705330,Pharomachrus auriceps x antisianus,Golden-headed x Crested Quetzal (hybrid),Trogoniformes,Trogonidae,Trogons,hybrid,9515,,
y00787,avibase-9B882540,Pharomachrus auriceps/antisianus,Golden-headed/Crested Quetzal,Trogoniformes,Trogonidae,Trogons,slash,9516,,
cubtro1,avibase-0FB04758,Priotelus temnurus,Cuban Trogon,Trogoniformes,Trogonidae,Trogons,species,9517,,FALSE
histro1,avibase-D0BAA2BA,Priotelus roseigaster,Hispaniolan Trogon,Trogoniformes,Trogonidae,Trogons,species,9520,,FALSE
lattro1,avibase-9DFCC417,Trogon clathratus,Lattice-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9521,,FALSE
slttro1,avibase-E676EACD,Trogon massena,Slaty-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9522,,FALSE
slttro2,avibase-78DE4599,Trogon massena massena/hoffmanni,Slaty-tailed Trogon (Massena),Trogoniformes,Trogonidae,Trogons,issf,9523,slttro1,
slttro3,avibase-532DAD16,Trogon massena australis,Slaty-tailed Trogon (Chapman's),Trogoniformes,Trogonidae,Trogons,issf,9526,slttro1,
buttro1,avibase-8E5824B0,Trogon comptus,Blue-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9527,,FALSE
bkttro2,avibase-4A2E1DFB,Trogon mesurus,Ecuadorian Trogon,Trogoniformes,Trogonidae,Trogons,species,9528,,FALSE
blttro1,avibase-2CC8DFAA,Trogon melanurus,Black-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9529,,FALSE
bkttro3,avibase-929662B7,Trogon melanurus macroura,Black-tailed Trogon (Large-tailed),Trogoniformes,Trogonidae,Trogons,issf,9530,blttro1,
bkttro1,avibase-2E3F9F54,Trogon melanurus melanurus/eumorphus,Black-tailed Trogon (Black-tailed),Trogoniformes,Trogonidae,Trogons,issf,9531,blttro1,
blhtro1,avibase-9EE5B7C0,Trogon melanocephalus,Black-headed Trogon,Trogoniformes,Trogonidae,Trogons,species,9534,,FALSE
cittro1,avibase-48014ECD,Trogon citreolus,Citreoline Trogon,Trogoniformes,Trogonidae,Trogons,species,9537,,FALSE
whttro1,avibase-D2C4BCF9,Trogon chionurus,White-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9540,,FALSE
gnbtro1,avibase-BA2F0BFD,Trogon viridis,Green-backed Trogon,Trogoniformes,Trogonidae,Trogons,species,9541,,FALSE
baitro1,avibase-8FEE6F95,Trogon bairdii,Baird's Trogon,Trogoniformes,Trogonidae,Trogons,species,9542,,FALSE
gartro1,avibase-94E42A23,Trogon caligatus,Gartered Violaceous Trogon,Trogoniformes,Trogonidae,Trogons,species,9543,,FALSE
viotro2,avibase-563C5F5D,Trogon violaceus,Guianan Violaceous Trogon,Trogoniformes,Trogonidae,Trogons,species,9547,,FALSE
viotro3,avibase-09B20241,Trogon ramonianus,Amazonian Violaceous Trogon,Trogoniformes,Trogonidae,Trogons,species,9548,,FALSE
viotro1,avibase-F412786C,Trogon violaceus/ramonianus,Guianan/Amazonian Violaceous Trogon,Trogoniformes,Trogonidae,Trogons,slash,9551,,
blctro1,avibase-706C5A16,Trogon curucui,Blue-crowned Trogon,Trogoniformes,Trogonidae,Trogons,species,9552,,FALSE
surtro1,avibase-1D555193,Trogon surrucura,Surucua Trogon,Trogoniformes,Trogonidae,Trogons,species,9556,,FALSE
surtro2,avibase-899C70E6,Trogon surrucura aurantius,Surucua Trogon (Orange-bellied),Trogoniformes,Trogonidae,Trogons,issf,9557,surtro1,
surtro3,avibase-8F2D3109,Trogon surrucura surrucura,Surucua Trogon (Red-bellied),Trogoniformes,Trogonidae,Trogons,issf,9558,surtro1,
x01156,avibase-CD8753DF,Trogon curucui x surrucura,Blue-crowned x Surucua Trogon (hybrid),Trogoniformes,Trogonidae,Trogons,hybrid,9559,,
bkttro7,avibase-A70C6C93,Trogon tenellus,Graceful Black-throated Trogon,Trogoniformes,Trogonidae,Trogons,species,9560,,FALSE
bkttro5,avibase-525CCA55,Trogon cupreicauda,Choco Black-throated Trogon,Trogoniformes,Trogonidae,Trogons,species,9561,,FALSE
bkttro6,avibase-3687A50D,Trogon rufus,Amazonian Black-throated Trogon,Trogoniformes,Trogonidae,Trogons,species,9562,,FALSE
bkttro4,avibase-93C2E7E6,Trogon chrysochloros,Atlantic Black-throated Trogon,Trogoniformes,Trogonidae,Trogons,species,9566,,FALSE
bkttro14,avibase-379A366E,Trogon chrysochloros muriciensis,Atlantic Black-throated Trogon (Alagoas),Trogoniformes,Trogonidae,Trogons,issf,9567,bkttro4,
bkttro15,avibase-0C39B655,Trogon chrysochloros chrysochloros,Atlantic Black-throated Trogon (Southern),Trogoniformes,Trogonidae,Trogons,issf,9568,bkttro4,
eletro1,avibase-CD220856,Trogon ambiguus,Coppery-tailed Trogon,Trogoniformes,Trogonidae,Trogons,species,9569,,FALSE
eletro2,avibase-C5BEA9D9,Trogon elegans,Elegant Trogon,Trogoniformes,Trogonidae,Trogons,species,9573,,FALSE
moutro1,avibase-5792B7B2,Trogon mexicanus,Mountain Trogon,Trogoniformes,Trogonidae,Trogons,species,9576,,FALSE
coltro1,avibase-A1458984,Trogon collaris,Collared Trogon,Trogoniformes,Trogonidae,Trogons,species,9579,,FALSE
coltro2,avibase-7AF9F9FA,Trogon collaris puella,Collared Trogon (Xalapa),Trogoniformes,Trogonidae,Trogons,issf,9580,coltro1,
orbtro1,avibase-F8DCD8D9,Trogon collaris aurantiiventris/underwoodi,Collared Trogon (Orange-bellied),Trogoniformes,Trogonidae,Trogons,issf,9581,coltro1,
coltro3,avibase-87286DC8,Trogon collaris [collaris Group],Collared Trogon (Collared),Trogoniformes,Trogonidae,Trogons,issf,9584,coltro1,
mastro1,avibase-DEF06688,Trogon personatus,Masked Trogon,Trogoniformes,Trogonidae,Trogons,species,9592,,FALSE
newtro1,avibase-7B2A7BFF,Trogon sp.,new world trogon sp.,Trogoniformes,Trogonidae,Trogons,spuh,9602,,
hoopoe,avibase-FA2F9125,Upupa epops,Common Hoopoe,Bucerotiformes,Upupidae,Hoopoes,species,9604,,FALSE
eurhoo1,avibase-F4D0DB8E,Upupa epops [epops Group],Common Hoopoe (Eurasian),Bucerotiformes,Upupidae,Hoopoes,issf,9605,hoopoe,
eurhoo3,avibase-66F40AD0,Upupa epops senegalensis/waibeli,Common Hoopoe (Central African),Bucerotiformes,Upupidae,Hoopoes,issf,9611,hoopoe,
eurhoo2,avibase-E4573453,Upupa epops africana,Common Hoopoe (African),Bucerotiformes,Upupidae,Hoopoes,issf,9614,hoopoe,
madhoo1,avibase-B4EA6FB2,Upupa marginata,Madagascar Hoopoe,Bucerotiformes,Upupidae,Hoopoes,species,9615,,FALSE
sthhoo1,avibase-3EC85674,Upupa antaios,St. Helena Hoopoe,Bucerotiformes,Upupidae,Hoopoes,species,9616,,TRUE
grewoo2,avibase-28CACA8F,Phoeniculus purpureus,Green Woodhoopoe,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9618,,FALSE
viowoo1,avibase-76FAC9A5,Phoeniculus damarensis,Violet Woodhoopoe,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9625,,FALSE
viowoo2,avibase-36EAC210,Phoeniculus damarensis damarensis,Violet Woodhoopoe (Violet),Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,issf,9626,viowoo1,
viowoo3,avibase-8F18EC0A,Phoeniculus damarensis granti,Violet Woodhoopoe (Grant's),Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,issf,9627,viowoo1,
y00659,avibase-CA0A7867,Phoeniculus purpureus/damarensis,Green/Violet Woodhoopoe,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,slash,9628,,
blbwoo2,avibase-68A80086,Phoeniculus somaliensis,Black-billed Woodhoopoe,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9629,,FALSE
whhwoo1,avibase-D1FFB474,Phoeniculus bollei,White-headed Woodhoopoe,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9633,,FALSE
whhwoo2,avibase-C4482AC9,Phoeniculus bollei bollei/jacksoni,White-headed Woodhoopoe (bollei/jacksoni),Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,issf,9634,whhwoo1,
whhwoo3,avibase-9D4C1BFA,Phoeniculus bollei okuensis,White-headed Woodhoopoe (Oku),Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,issf,9637,whhwoo1,
woodho1,avibase-640E47B9,Phoeniculus sp.,woodhoopoe sp.,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,spuh,9638,,
forwoo1,avibase-8CC7216A,Rhinopomastus castaneiceps,Forest Scimitarbill,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9639,,FALSE
forwoo2,avibase-C1178374,Rhinopomastus castaneiceps castaneiceps,Forest Scimitarbill (Western),Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,issf,9640,forwoo1,
forwoo3,avibase-5C2E11F8,Rhinopomastus castaneiceps brunneiceps,Forest Scimitarbill (Eastern),Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,issf,9641,forwoo1,
blsbil1,avibase-9C69D0FD,Rhinopomastus aterrimus,Black Scimitarbill,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9642,,FALSE
cosbil1,avibase-B0DD1318,Rhinopomastus cyanomelas,Common Scimitarbill,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9647,,FALSE
absbil1,avibase-46847C50,Rhinopomastus minor,Abyssinian Scimitarbill,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,species,9650,,FALSE
y00961,avibase-143A650F,Phoeniculus/Rhinopomastus sp.,woodhoopoe/scimitarbill sp.,Bucerotiformes,Phoeniculidae,Woodhoopoes and Scimitarbills,spuh,9653,,
noghor1,avibase-948ED65C,Bucorvus abyssinicus,Abyssinian Ground-Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9654,,FALSE
soghor1,avibase-4192DE77,Bucorvus leadbeateri,Southern Ground-Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9655,,FALSE
rbdhor1,avibase-53D72911,Lophoceros camurus,Red-billed Dwarf Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9657,,FALSE
crohor1,avibase-1FDA0172,Lophoceros alboterminatus,Crowned Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9658,,FALSE
brahor1,avibase-336CB959,Lophoceros bradfieldi,Bradfield's Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9659,,FALSE
afphor2,avibase-89218876,Lophoceros semifasciatus,West African Pied Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9660,,FALSE
afphor3,avibase-4B8F7AF5,Lophoceros fasciatus,Congo Pied Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9661,,FALSE
afphor1,avibase-202D9FBB,Lophoceros semifasciatus/fasciatus,West African/Congo Pied Hornbill,Bucerotiformes,Bucerotidae,Hornbills,slash,9662,,
hemhor1,avibase-6D72B23C,Lophoceros hemprichii,Hemprich's Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9663,,FALSE
afghor1,avibase-0CCD664D,Lophoceros nasutus,African Gray Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9664,,FALSE
pabhor1,avibase-235F0000,Lophoceros pallidirostris,Pale-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9667,,FALSE
lophoc1,avibase-55CF958D,Lophoceros sp.,Lophoceros sp.,Bucerotiformes,Bucerotidae,Hornbills,spuh,9670,,
eybhor1,avibase-3BCD9CB0,Tockus flavirostris,Eastern Yellow-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9671,,FALSE
sybhor1,avibase-21A15CDE,Tockus leucomelas,Southern Yellow-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9672,,FALSE
jachor1,avibase-427D7FD6,Tockus jacksoni,Jackson's Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9675,,FALSE
vddhor1,avibase-DE36D3BD,Tockus deckeni,Von der Decken's Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9676,,FALSE
monhor1,avibase-C8898E88,Tockus monteiri,Monteiro's Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9677,,FALSE
srbhor1,avibase-73A7F4D0,Tockus rufirostris,Southern Red-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9678,,FALSE
drbhor1,avibase-4C4AADAB,Tockus damarensis,Damara Red-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9679,,FALSE
x00667,avibase-EA4CD56E,Tockus rufirostris x damarensis,Southern x Damara Red-billed Hornbill (hybrid),Bucerotiformes,Bucerotidae,Hornbills,hybrid,9680,,
y01291,avibase-BC130E27,Tockus rufirostris/damarensis,Southern/Damara Red-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,slash,9681,,
trbhor1,avibase-1A34CC23,Tockus ruahae,Tanzanian Red-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9682,,FALSE
wrbhor2,avibase-1ADEF52B,Tockus kempi,Western Red-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9683,,FALSE
rebhor1,avibase-AF75AC32,Tockus erythrorhynchus,Northern Red-billed Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9684,,FALSE
tockus1,avibase-F3A85887,Tockus sp.,Tockus sp.,Bucerotiformes,Bucerotidae,Hornbills,spuh,9685,,
whchor2,avibase-89BFB892,Berenicornis comatus,White-crowned Hornbill,Bucerotiformes,Bucerotidae,Hornbills,species,9686,,FALSE
