LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS
2017-05-27 10:35:22	Singapore	SG	Singapore	SG-							Singapore, Fort Canning Park	L2155026	P	1.295	103.846	2012-03-20	15:15:00	obs176548	S14000562	Incidental	P20	EBIRD				1	1		
2017-10-19 12:47:02	Singapore	SG	Singapore	SG-							Pulau Ubin	L1055540	H	1.4036891	103.9608593	2012-01-27	08:00:00	obs440130	S16642917	Traveling	P22	EBIRD_AU	510	10		1	1		Spent a lovely day on Pulau Ubin. Weather was mostly fine, with just a shower in the afternoon.   Eremaea Birds List 114651
2017-05-27 11:00:13	Singapore	SG	Singapore	SG-							Changi Pt	L2534712	P	1.391	103.98758	2012-01-27		obs440130	S16669783	Incidental	P20	EBIRD_AU					1		Birds seen before and after the ferry ride to/from Pulau Ubin.  Eremaea Birds List 114660
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							Marina Bay	L2534721	P	1.28875	103.85302	2012-02-22		obs444045	S16655167	Incidental	P20	EBIRD_AU					1		At a three day conference but only had time to look around on the last day. Walk from Ritz-Carlton Millenia to Robinson Road and back. Eremaea Birds List 121033
2014-02-11 14:13:46	Singapore	SG	Singapore	SG-							Botanic Gardens	L2534689	P	1.31	103.81633	2012-06-20		obs434842	S16580246	Incidental	P20	EBIRD_AU					1		Short visit late in the afternoon.  Lot of people about.  Swiftlets also seen but not able to identify. Eremaea Birds List 138180
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							Bugis area - Singapore	L1576245	P	1.300433	103.8561411	2012-05-28	16:30:00	obs149858	S10938140	Traveling	P22	EBIRD	150	3.219		1	1		
2014-06-30 11:53:23	Singapore	SG	Singapore	SG-							Merlion Park	L2534681	P	1.28454	103.85363	2012-06-20		obs434842	S16682226	Incidental	P20	EBIRD_AU					1		Having a meal while waiting to photograph the museum and hotel over the bay at sunset. Eremaea Birds List 138209
2014-01-23 10:39:29	Singapore	SG	Singapore	SG-							V Hotel Lavender	L2578481	P	1.3077823	103.8622355	2012-11-18	14:00:00	obs203156	S16483087	Stationary	P21	EBIRD_CAN	30			1	1		Open air restaurant in the building, with flower planters
2017-05-27 10:36:20	Singapore	SG	Singapore	SG-							Labrador Nature Reserve, Singapore	L2090450	P	1.263497	103.8048577	2012-02-02	10:00:00	obs286526	S13580786	Traveling	P22	EBIRD	120	4.828		1	1		
2017-05-27 10:24:58	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-10-27		obs341377	S16684783	Incidental	P20	EBIRD_AU					1		Day list around Outward Bound Singapore Eremaea Birds List 149075
2017-10-19 12:47:07	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-11-01		obs341377	S16662889	Incidental	P20	EBIRD_AU					1		Outward Bound Singapore; day observation and morning walk to OBS dam, 0730 to 0900 Eremaea Birds List 149565
2017-10-19 12:47:07	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-10-23		obs341377	S16565791	Incidental	P20	EBIRD_AU					1		Outward Bound SIngapore property, western end of island. Nightjars calling from clothes hoists. Eremaea Birds List 148870
2017-07-05 13:20:48	Singapore	SG	Singapore	SG-							Singapore Botanic Gardens	L952084	H	1.3148322	103.8159621	2012-10-04	17:00:00	obs303417	S16670168	Traveling	P22	EBIRD_AU	90	3		1	1		c. 28'C. humid, cooling a little as the sun went down. Black Swans and Mute Swans also present but these are presumably pinioned birds. Eremaea Birds List 145934
2017-05-27 11:00:13	Singapore	SG	Singapore	SG-							Bukit Brown Cemetery 1' Cell	L2534691	P	1.325	103.825	2012-10-26		obs341377	S16689625	Incidental	P20	EBIRD_AU					1		Day observationsmorning and evening; missed Thick-billed Green Pigeons. Eremaea Birds List 148986
2017-05-28 05:54:20	Singapore	SG	Singapore	SG-							Sungei Buloh Wetland Reserve	L2534728	P	1.44643	103.72943	2012-10-26		obs341377	S16665321	Incidental	P20	EBIRD_AU					1		Public holiday, and very busy; birded c. 0830 to 1200, very few `bush birds; one Saltwater Croc, and several large monitors. Five observers Eremaea Birds List 148992
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							Seletar Dam	L1403154	H	1.423116	103.8629908	2012-10-02	17:10:00	obs303417	S16687187	Stationary	P21	EBIRD_AU	35			2	1		With Con Foley, on the dam wall, looking for an Oriental Plover that had been seen the day before (rarity for Singapore) and Malaysian Plover (one pair is reputedly resident). Eremaea Birds List 145689
2017-10-19 12:47:07	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-10-31		obs341377	S16628637	Incidental	P20	EBIRD_AU					1		Day observations around Outward Bound SIngapore, incl. morning walk (7 to 9 am) to OBS reservoir.  Eremaea Birds List 149412
2017-05-27 10:24:58	Singapore	SG	Singapore	SG-							Turut Track and radio-masts field	L2534723	P	1.42343	103.72363	2012-10-26		obs341377	S16592341	Incidental	P20	EBIRD_AU					1		Eremaea Birds List 149073
2017-10-19 12:47:07	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-10-28		obs341377	S16609267	Incidental	P20	EBIRD_AU					1		Early morning and late afteronn walks to Outward Bound Singapore resavoir; most birds seen in the immediate area around the da Eremaea Birds List 149076
2017-10-19 12:47:07	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-10-24		obs341377	S16621236	Incidental	P20	EBIRD_AU					1		Day and evening observations around Outward Bound Singapore property. Eremaea Birds List 148872
2017-04-26 11:34:27	Singapore	SG	Singapore	SG-							Tekong Island--SINGAPORE Block	L2534704	P	1.37178	104.05426	2012-10-24		obs341377	S16594691	Incidental	P20	EBIRD_AU					1		Day-trip (to 2 pm) on boat around Pulau Tekong; raptors seen over island or adjacent; terns seen off western end (open water) of island Eremaea Birds List 148873
2017-10-19 12:47:07	Singapore	SG	Singapore	SG-							Pulau Ubin Island	L2534717	P	1.41082	103.97469	2012-10-25		obs341377	S16648204	Incidental	P20	EBIRD_AU					1		Day observations; 0800 to 0900 walk along forest roadbirds extremely difficult to see; two raptors seen brieflypossible Honey Buzzard and Goshhawk sp. Eremaea Birds List 148923
2017-08-09 04:44:58	Singapore	SG	Singapore	SG-							Singapore	L1802921	P	1.3521	103.8198	2012-11-09		obs307568	S17332268	Incidental	P20	EBIRD				1	1		
2017-08-10 11:26:23	Singapore	SG	Singapore	SG-							Singapore	L1802921	P	1.3521	103.8198	2012-02-17		obs307568	S17332269	Incidental	P20	EBIRD				1	1		
2012-04-16 07:23:11	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-16	19:25:00	obs205759	S10462318	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:35:22	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-30	10:45:00	obs205759	S10302737	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:04	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-09	08:45:00	obs205759	S10393824	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:04	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-08	08:10:00	obs205759	S10382194	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							Jurong Bird Park	L2534690	P	1.31806	103.7063	2012-06-20		obs434842	S16682228	Incidental	P20	EBIRD_AU					1		Common Moorhen also seen, but may be not a free bird as not seen flying, but was with the Flamingos. Eremaea Birds List 138179
2017-10-19 12:47:06	Singapore	SG	Singapore	SG-							Hindhede Park	L1456256	H	1.3490121	103.7754245	2012-04-30	17:15:00	obs205759	S10586875	Traveling	P22	EBIRD_CAN	60	.3		1	1		
2018-09-08 11:52:22	Singapore	SG	Singapore	SG-							Fort Canning Park	L922737	H	1.2940966	103.8465779	2012-05-19	16:00:00	obs352905	S16805487	Stationary	P21	EBIRD	60			1	1		While staying at the Excelsior Hotel
2017-05-27 10:35:20	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-13	13:00:00	obs205759	S10431801	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:46:20	Singapore	SG	Singapore	SG-							Bukit Timah Nature Reserve--Green Trail	L1456260	H	1.3488061	103.7785984	2012-04-30	18:00:00	obs205759	S10586883	Traveling	P22	EBIRD_CAN	10	.1		2	1		
