GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS197878109	2015-10-22 16:53:06	18722	species	Gray Jay	Perisoreus canadensis			3				Canada	CA	Ontario	CA-ON	Nipissing	CA-ON-NP		12			Algonquin Provincial Park	L280534	H	45.8001243	-78.3396006	2010-01-03	09:30:00	obsr288214	S14185306	Traveling	P22	EBIRD	120	8			1	G150548	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS144640039	2012-03-16 13:23:29	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	British Columbia	CA-BC	Bulkley-Nechako	CA-BC-BN		10			atlas square: 10CH60 ( No. 326206)	L1454516	P	55.9757591	-125.1876347	2011-07-11	08:45:00	obsr173519	S10185936	Stationary	P21	EBIRD_CAN	5			1	1		0	1	0		British Columbia Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS302259851	2016-08-01 13:24:54	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Slave Lake	CA-AB-SN		6			PR01183	L3473812	P	57.072559	-114.963919	2012-07-01	08:09:00	obsr604408	S22279852	Stationary	P21	EBIRD	10			1	1		0	1	0		Google--joint oil sands monitoring landbirds--for background info and link to more detailed data (or see http://jointoilsandsmonitoring.ca/default.asp?lang=En&n=1689F062-1)	
URN:CornellLabOfOrnithology:EBIRD:OBS156812479	2013-11-13 15:44:10	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE	CA-MB_003	7			Churchill	L299411	H	58.7560421	-94.1460987	2012-06-15	09:00:00	obsr207922	S11011394	Traveling	P22	EBIRD	120	8.047		9	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS173143979	2012-12-19 21:56:58	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Ontario	CA-ON	Nipissing	CA-ON-NP		12			Algonquin Provincial Park--Spruce Bog Boardwalk	L351718	H	45.589051	-78.3709067	2012-12-19	10:45:00	obsr220341	S12326562	Traveling	P22	EBIRD_CAN	60	2		2	0	G506397	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS586800620	2018-03-11 15:11:44	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Quebec	CA-QC	Abitibi-Ouest	CA-QC-AO		8			Authier-Nord, chez Jocelyne	L6362514	P	48.8368497	-78.8613492	2012-10-05	10:00:00	obsr627340	S43563042	Stationary	P21	EBIRD_QC	60			1	1		0	1	0		Feuillet d'EPOQ no 1515195. Observateur : Jocelyne Plante.	
URN:CornellLabOfOrnithology:EBIRD:OBS132750923	2014-10-06 20:32:02	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Happy Valley-Goose Bay	L748661	P	53.3357934	-60.4031754	2011-12-11	11:30:00	obsr191077	S9321443	Traveling	P22	EBIRD	45	16.093		4	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS168680159	2014-03-13 14:30:29	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Quebec	CA-QC	Maria-Chapdelaine	CA-QC-MC		8			PRESOLU2012 Secteur coupe NO Peribonka	L1554249	P	50.2216946	-71.4824825	2012-05-22	06:40:00	obsr286614	S11970722	Traveling	P22	EBIRD_CAN	95	8		2	1	G485807	0	1	0		EPOQ	
URN:CornellLabOfOrnithology:EBIRD:OBS138512702	2014-10-06 20:19:31	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Labrador City	L141390	T	52.9500809	-66.9193573	2012-01-28	09:00:00	obsr19197	S9770968	Traveling	P22	EBIRD	120	12.875		1	1		0	1	0		Town and feeders	
URN:CornellLabOfOrnithology:EBIRD:OBS129757204	2014-10-06 20:19:30	18722	species	Gray Jay	Perisoreus canadensis			3				Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Labrador City	L141390	T	52.9500809	-66.9193573	2011-11-07	11:00:00	obsr19197	S9076170	Traveling	P22	EBIRD	120	9.656		1	1		0	1	0		Town	
URN:CornellLabOfOrnithology:EBIRD:OBS302236250	2015-03-10 13:54:59	18722	species	Gray Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Fort McMurray	CA-AB-ST		6			FT03701	L3471840	P	55.803462	-110.754273	2012-06-13	09:29:00	obsr604408	S22276743	Stationary	P21	EBIRD	10			1	1		0	1	0		Google--joint oil sands monitoring landbirds--for background info and link to more detailed data (or see http://jointoilsandsmonitoring.ca/default.asp?lang=En&n=1689F062-1)	
URN:CornellLabOfOrnithology:EBIRD:OBS145607215	2016-03-14 13:53:57	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Alberta	CA-AB	Calgary	CA-AB-SI		6			Redwood Meadows (town)	L685328	H	50.9880246	-114.5029966	2012-03-24	08:18:00	obsr27107	S10251921	Traveling	P22	EBIRD	22	6.437		1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.1	
URN:CornellLabOfOrnithology:EBIRD:OBS155058757	2012-06-01 10:24:32	18722	species	Gray Jay	Perisoreus canadensis			3				Canada	CA	British Columbia	CA-BC	Okanagan-Similkameen	CA-BC-OS		9			McKinney Rd - east of Coteay meadows	L1562574	P	49.1068687	-119.3050073	2012-05-27	09:40:00	obsr262533	S10890569	Stationary	P21	EBIRD_CAN	10			2	1	G421332	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS118482645	2018-01-22 14:42:12	18722	species	Gray Jay	Perisoreus canadensis			2				Canada	CA	Yukon Territory	CA-YT	Yukon	CA-YT-YT		4			Carcross Road--Gem Stables	L1164886	H	60.4744167	-134.8715833	2011-05-14	08:00:00	obsr58975	S8246170	Stationary	P21	EBIRD	120			1	1		0	1	0			
